cell_id_source,cell_id_target
aaaadcac-1,cpgijole-1
aaaadcac-1,cpgjpbcl-1
aaaanbhm-1,cpgcoihg-1
aaaankfe-1,aanimnpl-1
aaaankfe-1,cpgdlmof-1
aaaankfi-1,cpglegnh-1
aaaankfi-1,cpgllagg-1
aaaaoeaa-1,aanikdnp-1
aaaaoeaa-1,aanipiog-1
aaabbmdc-1,cpgclpbj-1
aaabnbbd-1,cpgiicoo-1
aaabnbbd-1,cpginhdm-1
aaabnbbd-1,cpginlcc-1
aaabnbbd-1,cpgjjoff-1
aaabnbbd-1,cpglajpl-1
aaacicpc-1,cpgdkdeb-1
aaacicpc-1,cpgdokcg-1
aaackknk-1,cpgknaed-1
aaacpgdb-1,aanemljk-1
aaacpgdb-1,cpgneihk-1
aaadlllb-1,aaooojoo-1
aaadlllb-1,aaopjcgb-1
aaafglek-1,cpgnjhjb-1
aaafglek-1,cphakicg-1
aaagbfcp-1,aaopndab-1
aaagbfcp-1,cpgnecmn-1
aaagbfcp-1,cpgnknem-1
aaagffcj-1,aaoodpjj-1
aaaghebd-1,aaoghjnh-1
aaahffcd-1,aaopcnkl-1
aaahmeok-1,aaopllmo-1
aaaiahaf-1,cpgnajbb-1
aaaiffem-1,aaonppak-1
aaaighdb-1,aaooaihm-1
aaaighdb-1,cpgnbnph-1
aaainbdl-1,aaogalnc-1
aaaiobkb-1,cpgmgafo-1
aaaiobkb-1,cpgmldck-1
aaajelnc-1,cpgngbjk-1
aaajkggj-1,cpgmgeog-1
aaajkggj-1,cpgnlboj-1
aaajohcl-1,cphflcde-1
aaakaiff-1,aaneokii-1
aaakaiff-1,cphgidnh-1
aaakhica-1,aaniomoi-1
aaalhfbf-1,aanebflm-1
aaalhhdf-1,aandpeeo-1
aaalmjbi-1,aanincoo-1
aaalmjbi-1,cpgeajgh-1
aaamhpgg-1,aaneaalp-1
aaamjdcl-1,aanfjnca-1
aaamjdcl-1,cpgmchjb-1
aaamkade-1,aanfencb-1
aaamkade-1,cpgmekbe-1
aaanajgp-1,cphiipok-1
aaancmjd-1,cpgmacmn-1
aaancmjd-1,cphiofho-1
aaankepo-1,cpglnpbj-1
aaankepo-1,cphiheel-1
aaanleea-1,cphgnimn-1
aaanmdpc-1,cpgmanpl-1
aaanpjhl-1,aanhdkml-1
aaanpjhl-1,aanhkgje-1
aaaogkhj-1,aanhkfnk-1
aaaogkhj-1,aanhkkno-1
aaaogkhj-1,cpckoehf-1
aaapbdpj-1,aanfpjhb-1
aaapciii-1,cpcjbdcd-1
aaapnibp-1,cpghbakn-1
aabadpie-1,cpgfafod-1
aabadpie-1,cpggpelo-1
aabadpie-1,cpgiacea-1
aabakjlc-1,aanhnmla-1
aabakjlc-1,cpgeajim-1
aabakjlc-1,cpgedlcl-1
aabakjlc-1,cpgejbkn-1
aabakjlc-1,cpghhhhk-1
aabalihp-1,cpcmkeda-1
aabanlko-1,cpcjfnhk-1
aabanlko-1,cpckleja-1
aabaobpp-1,aangbebf-1
aabaobpp-1,cpcknckd-1
aabbfmfi-1,aangdmjm-1
aabbfmfi-1,cpgfajhk-1
aabbjjil-1,cpcmfemf-1
aabcnhoi-1,aangeafl-1
aabdcind-1,cpcjcmpf-1
aabdcind-1,cpcjefmn-1
aabddfac-1,cpckjiki-1
aabddpdm-1,aaniafgf-1
aabddpdm-1,cpcjojip-1
aabdfali-1,cpcmline-1
aabdlmdm-1,cpegacod-1
aabdlmdm-1,cpeglbgk-1
aabdlmdm-1,cpehiekd-1
aabdmcmd-1,cpeeljil-1
aabdmcmd-1,cpefbdek-1
aabdmcmd-1,cpefbfgf-1
aabebccm-1,cpeelfbl-1
aabebccm-1,cpegphnm-1
aabebccm-1,cpehclfe-1
aabenjkc-1,cohjohhn-1
aabeplfe-1,cohlgiap-1
aabepljc-1,cohjjgog-1
aabfidii-1,cpeddpmc-1
aabgdnjd-1,aammbooe-1
aabgdnjd-1,aammfeig-1
aabghaof-1,aamkhcbl-1
aabghjgf-1,aammcoej-1
aabhcfep-1,cpefkcfk-1
aabhcngh-1,cpefjajc-1
aabhcngh-1,cpefjhfg-1
aabhibpd-1,cpefffcg-1
aabhklhh-1,cpefigom-1
aabibooo-1,cpecgmlf-1
aabidbpj-1,aamkmpgh-1
aabiidje-1,cohlpefg-1
aabinakb-1,aamjlchk-1
aabinakb-1,aamjooao-1
aabinfna-1,aamilhch-1
